_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO
1,147/2026 - DP-PEDRO GOMES,"HOMICIDIO QUALIFICADO, PARA ASSEGURAR A EXECUCAO, A OCULTACAO, A IMPUNIDADE OU VANTAGEM DE OUTRO CRIME, PROMOVER, CONSTITUIR, FINANCIAR OU INTEGRAR, PESSOALMENTE OU POR INTERPOSTA PESSOA, ORGANIZACAO CRIMINOSA, A PENA É AGRAVADA PARA QUEM EXERCE O COMANDO, INDIVIDUAL OU COLETIVO, DA ORGANIZAÇAO CRIMINOSA, AINDA QUE NAO PRATIQUE PESSOALMENTE ATOS DE EXECUÇAO, SE O HOMICIDIO DOLOSO É COMETIDO POR INTEGRANTE DE ORGANIZAÇAO CRIMINOSA ULTRAVIOLENTA, GRUPO PARAMILITAR OU MILICIA PRIVADA, NO CONTEXTO DA ATUAÇAO OU PARA A CONSECUÇAO DAS CONDUTAS PREVISTAS NO ART. 2º DA LEI QUE INSTITUI O MARCO LEGAL DO COMBATE AO CRIME ORGANIZADO NO BRASIL","FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, FATOS TIPICOS",28/04/2026,12:40:00,MS,PEDRO GOMES,5006408,""
2,835/2026 - 1DP-NOVA ANDRADINA,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",26/04/2026,13:30:00,MS,NOVA ANDRADINA,5006200,RESIDENCIAL JARDIM IMPERIAL
3,248/2026 - DP-IGUATEMI,"HOMICIDIO SIMPLES, HOMICIDIO SIMPLES NA FORMA TENTADA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",25/04/2026,23:45:00,MS,IGUATEMI,5004304,VILA OPERARIA
4,702/2026 - DP-COSTA RICA,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",25/04/2026,21:09:00,MS,COSTA RICA,5003256,""
5,1034/2026 - 1DP-NAVIRAÍ,"CONSTRANGIMENTO ILEGAL, SEQUESTRO E CARCERE PRIVADO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","FATOS TIPICOS, FATOS TIPICOS, SEQUESTRO E CARCERE PRIVADO, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",25/04/2026,02:45:00,MS,NAVIRAI,5005707,CENTRO SETOR 1
6,3848/2026 - DEPAC-CEPOL-CG,"FAVORECIMENTO PESSOAL, HOMICIDIO SIMPLES NA FORMA TENTADA, HOMICIDIO QUALIFICADO MEDIANTE PAGA OU PROMESSA DE RECOMPENSA, OU POR OUTRO MOTIVO TORPE","FATOS TIPICOS, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO",21/04/2026,20:26:00,MS,CAMPO GRANDE,5002704,JARDIM NOROESTE
7,3845/2026 - DEPAC-CEPOL-CG,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, NA FORMA TENTADA","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",21/04/2026,14:55:00,MS,CAMPO GRANDE,5002704,JARDIM MONUMENTO
8,967/2026 - 1DP-PONTA PORÃ,INFANTICIDIO,"FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS",21/04/2026,04:47:00,MS,PONTA PORÃ,5006606,""
9,394/2026 - DP-APARECIDA,"HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, HOMICIDIO DOLOSO, SE O CRIME É PRATICADO EM CONCURSO DE DUAS OU MAIS PESSOAS, HOMICIDIO QUALIFICADO COM EMPREGO DE ARMA DE FOGO DE USO RESTRITO OU PROIBIDO","HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",20/04/2026,21:07:00,MS,APARECIDA DO TABOADO,5001003,JARDIM REDENTORA
10,237/2026 - DP-ITAQUIRAI,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",20/04/2026,19:00:00,MS,ITAQUIRAÍ,5004601,""
