_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO,SUBTIPO_ESTUPRO,TENTADO,ENVOLVE_VD,DESC_MEDIDA_PROTETIVA,ANO,MES
326,7842/2025 - DEPAC-CEPOL-CG,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, VILIPENDIO A CADAVER, HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, HOMICIDIO QUALIFICADO, PARA ASSEGURAR A EXECUCAO, A OCULTACAO, A IMPUNIDADE OU VANTAGEM DE OUTRO CRIME, ESTUPRO DE VULNERAVEL, SEQUESTRO E CARCERE PRIVADO, SE O CRIME É PRATICADO COM FINS LIBIDINOSOS","FATOS TIPICOS, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO, FATOS TIPICOS, SEQUESTRO E CARCERE PRIVADO",27/08/2025,08:30:00,MS,Campo Grande,5002704,VILA CARVALHO,ESTUPRO,False,False,False,2025,8
350,552/2025 - DP-BELA VISTA,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, ESTUPRO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR","FATOS TIPICOS, FATOS TIPICOS, ESTUPRO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS, VIOLENCIA DOMESTICA",08/08/2025,19:00:00,MS,Bela Vista,5002100,,ESTUPRO,False,True,False,2025,8
381,460/2025 - DP-CAMAPUÃ,"MAUS TRATOS QUALIFICADO, SE O CRIME É PRATICADO CONTRA PESSOA MENOR DE 14 (QUATORZE) ANOS, ESTUPRO DE VULNERAVEL, SE DA CONDUTA RESULTA MORTE, ESTUPRO, A PENA É AUMENTADA DE METADE, SE O AGENTE É ASCENDENTE, PADRASTO OU MADRASTA, TIO, IRMÃO, CÔNJUGE, COMPANHEIRO, TUTOR, CURADOR, PRECEPTOR OU EMPREGADOR DA VÍTIMA OU POR QUALQUER OUTRO TITULO TEM AUTORIDADE SOBRE ELA","FATOS TIPICOS, MAUS-TRATOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, PEDOFILIA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, ESTUPRO",09/07/2025,07:00:00,MS,Camapuã,5002605,VILA INDUSTRIAL,ESTUPRO,False,False,False,2025,7
1066,15/2024 - DEPAC-DDOS,"HOMICIDIO SIMPLES, ESTUPRO (VIOLENCIA DOMESTICA), LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA)","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, ESTUPRO, FATOS TIPICOS, VIOLENCIA DOMESTICA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA",01/01/2024,11:53:00,MS,Dourados,5003702,VILA INDUSTRIAL,ESTUPRO,False,True,False,2024,1
1095,8047/2023 - DEPAC-DDOS,"ESTUPRO, FEMINICIDIO, MENOSPREZO OU DISCRIMINAÇAO DE MULHER - REVOGADO","FATOS TIPICOS, ESTUPRO, FATOS TIPICOS, PROJETO ACOLHIDA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS",09/12/2023,07:00:00,MS,Dourados,5003702,,ESTUPRO (LEGISLAÇÃO REVOGADA),False,False,False,2023,12
1098,2423/2023 - DP-SIDROLANDIA,"ABANDONO DE INCAPAZ, SE O AGENTE É ASCENDENTE OU DESCENDENTE, CONJUGE, IRMAO, TUTOR OU CURADOR DA VITIMA, ESTUPRO DE VULNERAVEL, INCENDIO, SE PRATICADO EM CASA HABITADA OU DESTINADA A HABITAÇAO, HOMICIDIO CONTRA MENOR DE 14 (QUATORZE) ANOS, HOMICIDIO CONTRA MENOR DE 14 (QUATORZE) ANOS, NA FORMA TENTADA","ABANDONO DE INCAPAZ, FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO, FATOS TIPICOS, PROJETO ACOLHIDA, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO NA FORMA TENTADA",08/12/2023,03:00:00,MS,Sidrolândia,5007901,SAO BENTO,ESTUPRO TENTADO,True,False,False,2023,12
1463,1240/2023 - DEPAC-DDOS,"FURTO, DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, HOMICIDIO QUALIFICADO, PARA ASSEGURAR A EXECUCAO, A OCULTACAO, A IMPUNIDADE OU VANTAGEM DE OUTRO CRIME, ESTUPRO DE VULNERAVEL, SE DA CONDUTA RESULTA MORTE","FURTO, FATOS TIPICOS, FURTO (SEM ART. 155, § 3° DO CP), FATOS TIPICOS, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, ESTUPRO DE VULNERÁVEL - ART. 217-A, PEDOFILIA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, ESTUPRO",24/02/2023,22:30:00,MS,Douradina,5003504,VILA PLANALTO,ESTUPRO,False,False,False,2023,2
1499,1403/2023 - DEPAC-CENTRO-CG,"HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, ESTUPRO DE VULNERAVEL","HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO",26/01/2023,18:00:00,MS,Campo Grande,5002704,VILA NASSER,ESTUPRO,False,False,False,2023,1
1562,8113/2022 - 1DEAM,"ABANDONO DE INCAPAZ, SE DO FATO RESULTA A MORTE, ESTUPRO DE VULNERAVEL, HOMICIDIO DOLOSO MAJORADO, SE O CRIME É PRATICADO CONTRA PESSOA MENOR DE 14 (QUATORZE) OU MAIOR DE 60 (SESSENTA)","FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, ABANDONO DE INCAPAZ, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS",11/12/2022,23:17:00,MS,Campo Grande,5002704,VILA NOSSA SENHORA DAS GRACAS,ESTUPRO MAJORADO,False,False,False,2022,12
1604,7406/2022 - 1DEAM,"ESTUPRO (VIOLENCIA DOMESTICA), FEMINICIDIO - REVOGADO","ESTUPRO, FATOS TIPICOS, VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",13/11/2022,03:00:00,MS,Campo Grande,5002704,JARDIM CENTRO OESTE,ESTUPRO (LEGISLAÇÃO REVOGADA),False,True,False,2022,11
