_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO,SUBTIPO_FEMINICIDIO,TENTADO,ENVOLVE_VD,DESC_MEDIDA_PROTETIVA,ANO,MES
19,2765/2026 - 1DEAM,FEMINICIDIO,"CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",13/04/2026,08:35:00,MS,Campo Grande,5002704,JARDIM NOROESTE,FEMINICÍDIO,False,False,False,2026,4
20,212/2026 - DP-ELDORADO,"SUICIDIO, FEMINICIDIO","MORTE DECORRENTE DE FATO ATIPICO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",12/04/2026,23:50:00,MS,Eldorado,5003751,JARDIM NOVO ELDORADO,FEMINICÍDIO,False,False,False,2026,4
29,2561/2026 - 1DEAM,"PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO, ADQUIRIR, POSSUIR OU ARMAZENAR, POR QUALQUER MEIO, FOTOGRAFIA, VIDEO OU OUTRA FORMA DE REGISTRO QUE CONTENHA CENA DE SEXO EXPLICITO OU PORNOGRAFICA ENVOLVENDO CRIANCA OU ADOLESCENTE, FEMINICIDIO","FATOS TIPICOS, PORTE E POSSE DE ARMA DE FOGO, FATOS TIPICOS, PEDOFILIA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",06/04/2026,11:35:00,MS,Campo Grande,5002704,CONJUNTO HABITACIONAL ESTRELA D ALVA I,FEMINICÍDIO,False,False,False,2026,4
44,110/2026 - DP-SELVÍRIA,FEMINICIDIO,"CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",23/03/2026,08:35:00,MS,Selvíria,5007802,CENTRO,FEMINICÍDIO,False,False,False,2026,3
70,77/2026 - DP-PARANHOS,"FEMINICIDIO, NAS CIRCUNSTANCIAS PREVISTAS NOS INCISOS III, IV E VIII DO § 2º DO ART. 121 DESTE CODIGO","PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO",08/03/2026,01:00:00,MS,Paranhos,5006358,,FEMINICÍDIO,False,False,False,2026,3
72,255/2026 - DP-ANASTACIO,FEMINICIDIO,"CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",06/03/2026,22:30:00,MS,Anastácio,5000708,,FEMINICÍDIO,False,False,False,2026,3
76,537/2026 - 1DP-PONTA PORÃ,"HOMICIDIO QUALIFICADO, PARA ASSEGURAR A EXECUCAO, A OCULTACAO, A IMPUNIDADE OU VANTAGEM DE OUTRO CRIME, NA FORMA TENTADA, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR, NA FORMA TENTADA, FEMINICIDIO, NA PRESENÇA FISICA OU VIRTUAL DE DESCENDENTE OU DE ASCENDENTE DA VITIMA","FATOS TIPICOS, VIOLENCIA DOMESTICA, FEMINICIDIO NA FORMA TENTADA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, FATOS TIPICOS, PROJETO ACOLHIDA",03/03/2026,17:34:00,MS,Ponta Porã,5006606,VILA RENO,FEMINICÍDIO TENTADO,True,True,False,2026,3
83,902/2026 - DEPAC-TL,FEMINICIDIO,"CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",25/02/2026,02:27:00,MS,Três Lagoas,5008305,NOVO OESTE 2,FEMINICÍDIO,False,False,False,2026,2
87,331/2026 - 1DP-COXIM,"QUANDO SE TRATAR DE CAO OU GATO, A PENA PARA AS CONDUTAS DESCRITAS NO CAPUT DESTE ARTIGO SERA DE RECLUSAO, DE 2 (DOIS) A 5 (CINCO) ANOS, MULTA E PROIBIÇÃO DA GUARDA, FEMINICIDIO","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",22/02/2026,04:30:00,MS,Coxim,5003306,SENHOR DIVINO,FEMINICÍDIO,False,False,False,2026,2
120,390/2026 - 1DP-CORUMBA,"AMEACA, DESACATO, FEMINICIDIO","AMEAÇA, FATOS TIPICOS, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",24/01/2026,18:33:00,MS,Corumbá,5003207,VILA GUARANI,FEMINICÍDIO,False,False,False,2026,1
