_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO,SUBTIPO_VIOLENCIA_DOMESTICA,TENTADO,ENVOLVE_VD,DESC_MEDIDA_PROTETIVA,ANO,MES
40,236/2026 - DP-BELA VISTA,"HOMICIDIO SIMPLES, LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA)","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, DOS CRIMES CONTRA A PESSOA, LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS",26/03/2026,23:00:00,MS,Bela Vista,5002100,,VIOLENCIA DOMESTICA,False,True,False,2026,3
76,537/2026 - 1DP-PONTA PORÃ,"HOMICIDIO QUALIFICADO, PARA ASSEGURAR A EXECUCAO, A OCULTACAO, A IMPUNIDADE OU VANTAGEM DE OUTRO CRIME, NA FORMA TENTADA, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR, NA FORMA TENTADA, FEMINICIDIO, NA PRESENÇA FISICA OU VIRTUAL DE DESCENDENTE OU DE ASCENDENTE DA VITIMA","FATOS TIPICOS, VIOLENCIA DOMESTICA, FEMINICIDIO NA FORMA TENTADA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, FATOS TIPICOS, PROJETO ACOLHIDA",03/03/2026,17:34:00,MS,Ponta Porã,5006606,VILA RENO,VIOLENCIA DOMESTICA TENTADO,True,True,False,2026,3
176,1586/2025 - DP-RIBAS RIO PARDO,"DESCUMPRIR DECISAO JUDICIAL QUE DEFERE MEDIDAS PROTETIVAS DE URGENCIA PREVISTAS NESTA LEI, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS, VIOLENCIA DOMESTICA",14/12/2025,01:17:00,MS,Ribas Do Rio Pardo,5007109,,VIOLENCIA DOMESTICA,False,True,True,2025,12
181,8564/2025 - 1DEAM,"VILIPENDIO A CADAVER, LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA), FEMINICIDIO","FATOS TIPICOS, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",08/12/2025,08:00:00,MS,Campo Grande,5002704,VILA TAVEIROPOLIS,VIOLENCIA DOMESTICA,False,True,False,2025,12
230,1258/2025 - 1DP-JARDIM,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR","CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS, VIOLENCIA DOMESTICA",04/11/2025,20:00:00,MS,Jardim,5005004,SANTA LUZIA,VIOLENCIA DOMESTICA,False,True,False,2025,11
239,7534/2025 - 1DEAM,"RESISTENCIA, DESOBEDIENCIA, OMISSAO DE SOCORRO, QUALIFICADA SE RESULTA MORTE, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR","FATOS TIPICOS, FATOS TIPICOS, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS, VIOLENCIA DOMESTICA",28/10/2025,20:21:00,MS,Campo Grande,5002704,JARDIM COLUMBIA,VIOLENCIA DOMESTICA,False,True,False,2025,10
304,225/2025 - DP-DOIS IRMAOS,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR","CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS, VIOLENCIA DOMESTICA",08/09/2025,02:00:00,MS,Dois Irmãos Do Buriti,5003488,CENTRO,VIOLENCIA DOMESTICA,False,True,False,2025,9
333,1192/2025 - 1DP-BATAGUASSU,"SEQUESTRO E CARCERE PRIVADO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR","FATOS TIPICOS, SEQUESTRO E CARCERE PRIVADO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS, VIOLENCIA DOMESTICA",22/08/2025,20:00:00,MS,Bataguassu,5001904,JARDIM REAL,VIOLENCIA DOMESTICA,False,True,False,2025,8
350,552/2025 - DP-BELA VISTA,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, ESTUPRO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR","FATOS TIPICOS, FATOS TIPICOS, ESTUPRO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS, VIOLENCIA DOMESTICA",08/08/2025,19:00:00,MS,Bela Vista,5002100,,VIOLENCIA DOMESTICA,False,True,False,2025,8
356,976/2025 - DP-RIBAS RIO PARDO,"SUICIDIO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","MORTE DECORRENTE DE FATO ATIPICO, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",31/07/2025,15:40:00,MS,Ribas Do Rio Pardo,5007109,CENTRO,VIOLENCIA DOMESTICA (LEGISLAÇÃO REVOGADA),False,True,False,2025,7
